,Australia,Austria,Belgium,Canada,Czech Republic,Denmark,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Japan,Korea,Lithuania,Luxembourg,Netherlands,New Zealand,Norway,Poland,Portugal,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,United Kingdom,United States,EU Institutions,Azerbaijan,Bulgaria,Croatia,Cyprus,Estonia,Israel,Kazakhstan,Kuwait,Latvia,Liechtenstein,Malta,Monaco,Qatar,Romania,Saudi Arabia,Chinese Taipei,Thailand,Timor-Leste,Türkiye,United Arab Emirates
Lesotho,0.09,0.23,0,0.59,0,0,0,0.02,1.1,0,0,0,0,0,4.04,0.02,0,0,0,0.02,0.23,0,0,0.03,0,0,0.27,0.42,1.24,83.35,22.62,0,0,0,0,0,0.02,0,-1.69,0,0,0,0,0.07,0,0,0,0.02,0,0.37,0.29
Liberia,0.02,0.03,0,1.06,0,0.91,0.1,6.34,35.11,0,0,0.37,6.95,0,17.86,0.46,0,0,0.06,0,3.15,0.04,0,0,0,0.07,45,0.04,4.03,144.49,36.13,0,0,0,0,0,0.04,0,0.87,0,0,0,0,0.09,0,0,0,0,0,0.15,2.36
Libya,0,3.57,0.31,3.66,0.71,2.52,0.82,6.74,50.87,1.83,0.05,0,0.07,21.89,14.71,0.15,0,0.25,2.39,0,3.43,0.1,0,0,0,0.14,5.89,8.05,17.59,78.21,92,0,0,0.01,0,0,0,0,0,0,0.11,2.88,0,0.2,0.07,0,0,0,0,11.69,1.5
Macau (China),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,0.22,0.1,4.66,4.82,0,0,1.33,106.27,84,0,0,0,0.76,3,41.68,4.05,0,1.16,0,0,9,0.06,0,0,0.34,0.03,4.65,6.04,8.72,153.46,84.03,0,0,0,0,0,0.12,0,-5.99,0,0.05,0,3.16,0,0.02,0,0,0.01,0,0.24,1.52
Malawi,1.82,0.06,2.88,10.52,0.02,2.76,1.18,2.97,93.3,0,0,6.6,20.6,1.67,19.67,3.88,0,0.82,0,0.24,53.63,0.03,0,0,0,0.54,5.12,0.66,58.18,285.39,119.41,0,0,0,0,0,0.35,0,3.73,0,0,0,0.12,1.04,0,0,0,0.01,0,0.14,0.71
Malaysia,1.64,0.21,0,0.65,0,0.02,0,5.12,13.31,0,0.41,0,0,0.02,-69.36,3.26,0,0,0,0.11,0,0.33,0.01,0,0,-0.23,0.77,0,15.03,16.36,2.09,0,0,0,0,0,0.01,0,0,0,0,0,0,1.05,0,0,0,0.03,0,0.61,0.59
Maldives,1.51,0.1,0,1.21,0,0,0,0.13,0.37,0,0,0,0,0,26.22,0.02,0,0,0,0,0,0,0,0,0,0,0,0,2.24,5.77,2.32,0,0,0,0,0,0,0,1.7,0,0,0,0,0.01,0,0,0,0.07,0,0.01,0.54
Mali,0,1.74,21.63,92.49,1.9,89.73,1.14,119.69,118.36,0,0.1,0.17,1.12,8.91,16.31,1,0.12,21.44,50.49,0,27.69,0.02,0.27,0,0,17.33,52.93,41.31,11.66,222.07,126.4,0,0,0,0,0,0.03,0,0.17,0.01,0.33,0,0,0.47,0.01,0,0,0,0,0.6,0.48
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands,2.68,0,0,0.32,0,0,0,0,1.56,0,0,0,0,0,1.09,0.74,0,0,0,1.23,0,0,0,0,0,0,0,0.11,0,88.24,3.04,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,0,0,0.42,3.13,0.25,0.02,0,-11.24,22.03,0,0.07,0,0.4,1.24,8.13,0.17,0,0,0,0,0,0,0,0,0,12.8,0.97,0.48,0.72,20.58,64.81,0,0,0,0,0,0,0,-7.45,0,0,0,0.76,0.02,0,0,0,0,0,0.42,126.23
Mauritius,0.28,0.06,0,0.19,0,0,0.7,-13.73,3.93,0,0.01,0,0,0.01,286.75,0.23,0,0,0,0.01,0,0.02,0.01,0,0,0,0.01,0,1.23,0.96,1.44,0,0,0,0,0.01,0.05,0,0,0,0,0.01,0,0.09,0.01,0,0,0.02,0,0.04,0.15
Mayotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mekong Delta Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,0.11,5.01,0.06,4.74,0.01,0.2,0.19,352.66,-32.48,0,0.71,0,0.19,0.44,5.1,1.4,0.02,0.01,0.12,0.11,0,0.48,0.23,0,0,5.01,1.08,1.42,28.01,152.59,4.19,0,0,0,0,0,2.99,0,0,0.02,0,0,0,0.87,0.02,0,0,0,0,0.63,0.03
Micronesia,3.94,0,0,0.1,0,0,0,0,0,0,0,0,0,0,2.67,0.69,0,0,0,1,0,0,0,0,0,0,0,0,0,110.49,-0.16,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova,0.01,5.12,0.01,0.18,5.77,0.01,0.59,3.78,15.82,0,2.18,0,0,0.52,2.22,0.45,0.29,0.1,0,0,1.08,2.42,0,0.94,0,0.02,16.7,15.24,3.12,41.08,330.13,0,0.16,0,0,1.06,0.71,0,0,0.3,1.93,0,0,0.21,64.54,0,0,0,0,3.48,0
Mongolia,4.79,3.57,0,4.97,0.34,0,0.44,2.73,18.12,0,6.73,0,0,0.08,19.05,30.13,0.05,0.79,0.31,0.08,0.29,0.28,0,0,0,-1.09,0.14,13.68,2.48,39.26,20.87,0,0.08,0.02,0,0,0.02,0,-2.27,0,0,0,0,0.06,0.03,0,0,0.05,0,2.32,-0.71
Montenegro,0.01,1.07,0,0.11,0.03,0,0,0.62,0.2,0,8.19,0,0,0.05,0.58,0.37,0,0.14,0,0,1.36,-0.28,0,1.27,1.47,-0.53,0.29,0,2.61,5.24,107.62,0,0.07,0.07,0,0,0.02,0,0,0,0,0,0,0.15,0.02,0,0,0,0,0.94,0
Montserrat,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.34,0,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02
Morocco,0.01,0.98,16.95,5.86,1.38,2.47,0.26,250.37,201.78,0,3.12,0,0,-3.18,147.78,4.65,0.01,0,0.42,0,0.83,0.41,0.29,0,0,3.85,1.26,4,9.68,183.91,181.68,0,0.01,0,0,0,0.09,0,-40.7,0,0,0,1.13,1.74,0.13,0,0,0,0,0.7,0.73
Mozambique,1.15,12.89,16.35,82.27,0.02,3.02,17.26,45.68,97.75,0,0.38,0,32.06,22.92,69.7,19.48,0,0.09,30.14,0.02,59.82,0.04,23.04,0,0,15.82,91.42,33.06,51.57,573.86,129.51,0,0,0,0,0,0,0,-0.66,0,1.74,0,0,0.06,0,0,0,0.02,0,0.21,7.46
Myanmar,68.24,0.07,0.02,20.12,1.33,22.45,15.24,8.15,40.76,0,0.77,0,2.86,6.13,404.43,39.38,0,5.49,2.29,17.97,32,0.16,0,0,0,0.01,41.71,45.95,91.18,156.13,86.83,0,0,0,0,0,0.14,0,0,0,0.11,0,0,0.12,0,0,0,2.4,0,0.27,0.01
Namibia,0.07,0.06,0.04,0.23,0.08,0,0.76,-4.28,58.45,0,0.06,0.1,0.05,0.02,4,0.3,0,0,0,0.09,0.48,0.04,0.19,0,0,-1.26,2.24,0.44,1.99,82.55,9.09,0,0.03,0,0,0.28,0,0,-0.5,0,0,0.01,0,0,0,0,0,0,0,0.16,0.01
Nauru,20.29,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1.14,0,0,0,0,3.14,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,25.57,2.3,0.19,7.89,0,3.21,23.08,1.17,54.33,0,0.35,0,1.06,1.32,91.14,13.41,0.07,2.89,0,1.19,39.68,0.16,0,0,0.22,0.17,5.63,46.11,81.57,160.1,115.88,0,0,0,0,0,0.29,0,1.62,0,0,0,0,1.82,0,0,0,0.08,0,0.16,1.96
Netherlands Antilles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,0.05,0.76,2.19,14.15,0.04,0.1,0.28,6.5,7.79,0,0,0,1.37,2.79,17.18,20.33,0,1.04,0.07,0.03,1.77,0,0,0,0,29.97,1.59,18.56,0.57,40.3,55.45,0,0,0,0,0,0.07,0,15.34,0,0,0,0,0,0,0,0,0.01,0,0,0.01
Niger,0.26,0.09,34.57,20.38,1.38,31.93,1.32,125.91,154.37,0.07,0,0.17,3.82,22.69,22.06,2.29,0,36.2,25.87,0,17.54,0.93,0,0,0,10.83,11.77,31.86,1.49,261.4,164.16,0,0,0,0,0,0.01,0,0.03,0,0,0,1.45,0.01,0.12,0,0,0,0,1.45,1.02
Nigeria,2.41,1.56,5.94,60.39,1.14,2.89,0.17,117.72,145.88,0,3.73,0,2.97,4.1,25.71,5.66,0.19,1.4,14.12,0.25,17.14,4.98,0.16,0,2.62,1.71,29.57,15.56,192.77,912.51,156.11,0,0,0,0,0.04,0.7,0,0,0,0,0,0,17.7,0.09,0,0,0.05,0,0.77,0.27
Niue,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0,23.79,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,0.01,3.24,0,0.11,0.13,0,0,1.52,6.82,0.86,0.44,0,0,0.11,-2.06,0.01,0,0.16,0.27,0,0.71,1.15,0.02,0.31,7.25,-0.37,8.89,20.57,5.58,16.19,264.8,0,1.24,0.29,0,0.05,0.12,0,0,0,0,0,0,0,0.18,0,0,0,0,4.5,0.06
Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,10.82,4.68,0.06,29.72,0.02,5.54,0,45.12,147.33,0.87,4.99,0,0,4.5,75.95,20.43,0.04,0,3.27,0,11.83,1.37,0,0,0,0.03,5.47,0.79,175.74,236.58,117.26,0,0,0,0,0.24,0.14,0,-13.91,0,0,0,0,16.42,0.02,0,0,0.05,0,2.99,21.36
Palau,4.63,0,0,0.1,0,0,0,0,0.05,0,0,0,0,0,13.95,0.39,0,0,0,0.95,0,0,0,0,0,0,0,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0
Panama,0.01,0.03,0,0.42,0.01,0,0,-8.68,0.95,0,0.05,0,0,0.01,66.01,-0.79,0,0,0.02,0.05,0,0.02,0.02,0,0,-3.47,0.6,0.15,1.19,35.6,12.95,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,586.23,0,0.02,0.11,0.02,0,0,0.08,2.36,0,0,0,0.01,0.14,345.67,1.41,0,0,0,23.75,1.38,0.03,0,0,0,0,0.01,0.02,1.65,13.85,65.58,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,0.03,0.21,0.01,0.18,0.01,0,0,30.63,3.72,0,0.01,0,0.03,0.59,11.87,30.83,0,0.12,0,0.01,0,0,0,0,0,20.11,1.7,0.6,1.14,21.59,25.66,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,3,0,0,0.05,0.43
Peru,0.2,1.14,8.29,18.8,0.31,0.04,0.34,-20.28,-2.26,0,0.06,0,0.64,2.97,-24.87,11.96,0,0.46,-0.24,0.07,11.27,0.2,0.03,0,0,30.56,2.25,23.26,10.92,170.24,16.38,0,0,0,0,0,0.33,0,0,0,0.53,0,0,0.06,0.05,0,0,0.01,0,0.17,0.07
Philippines,65.21,0.74,5.49,11.25,0.07,0.54,0.68,319.77,17.71,0,0.6,0,0.52,0.85,732.91,178.48,0,0.5,0.65,2.19,1.93,2.99,0,0,0,6.39,8.05,1.68,18.81,159.19,47.46,0,0,0,0,0,0.81,0,0,0,0,0.14,0,0.78,0,0,0,0.24,0,0.27,3.48
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,2.8,0.31,52.33,21.99,0.01,6.39,0.22,71.46,100.79,3.78,4.42,0,2.37,7.96,70.93,25.97,0,1.67,21.66,1.04,6.15,2.14,3.21,3.44,0.08,10.13,28.87,7.85,48.07,151.99,67.15,0,0,0.67,0,0.71,0.42,0,5.61,0,0,0.72,0,2.17,0.01,0,0,0,0,0.61,3.44
Saint Helena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.2,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,0.01,0.02,0,0.97,0,0,0.01,0.95,0.02,0,0,0,0,0,6.39,0,0,0,0,0.17,0,0,0,0,0,0.07,0,0,0.42,0.03,3.65,0,0,0,0,0,0,0,-0.86,0,0,0,0,0,0,0,0,0,0,0,0.75
Saint Vincent and the Grenadines,0.05,0.16,0,0.92,0,0,0,0.17,0.02,0.01,0,0,0.24,0,3.49,0.25,0,0,0,0.17,0.15,0,0,0,0,0.41,0,0.05,1.12,1.33,0.78,0,0,0,0,0,0,0,0,0,0,0.03,0,0.5,0,0,0,0,0,0.02,0.77
Samoa,34.99,0,0,0.12,0,0,0,0.01,0.15,0,0,0,0,0,8.55,1.48,0,0,0,25.62,0,0,0,0,0,0,0.12,0,0.91,0.78,0.69,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,0,0,0,0.16,0,0,0,0.5,0,0,0.02,0.02,0,0.11,3.83,0.18,0,0,0,0,0,0,14.84,0,0,0.01,0.03,0,0,0.03,4.43,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,0.02,0.84,16.89,62.48,1.46,0.07,0.13,245.97,118.82,0,0.23,0.01,0.53,32.08,39.5,26.07,0,28.04,1.15,0,0.19,0.34,2.59,0,0,24.22,2.18,5.53,3.98,178.51,130.08,0,0,0,0,0,0.41,0,13.67,0,0.73,0,0.86,0.95,0.01,0,0,0.05,0,0.84,1.88
Serbia,0.02,29.48,0,0.13,0.48,0.01,-1.4,71.71,43.57,0.04,5.3,0,0,0.42,61.55,1.32,0.01,0.16,0.17,0,3.87,0.12,0.05,1.79,5.76,0.72,14.67,22.81,4.08,35.01,364.21,0,0.18,0.95,0,0,0.56,0,-2.37,0,0,0,0,0.06,2.96,0,0,0,0,1.05,-84.96
Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,0.01,0.06,0,5.95,0,1.38,0.51,1.65,22.41,0,0,2.78,19.18,2,16.06,7.76,0,0,0,0,1.85,0.04,0,0,0,0.73,1.04,0.03,68.84,52.18,67.85,0,0,0,0,0,0.05,0,-0.95,0,0,0,0,0,0,0,0,0,0,0.3,9.08
Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,137.64,0,0,0.1,0,0,0,0,0.43,0,0,0,0.01,0,51.17,0.79,0,0,0,29.58,0,0,0,0,0,0,0.08,0,0.82,1.96,2.59,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,0.66,1.05,0.05,36.95,0.05,42.49,22.36,20.81,170.78,0,0,0.14,8.53,541.4,21.74,0.85,0.08,1.22,21.69,0,61.29,1.86,0.11,0.08,0,0.31,109.84,25.95,138.51,469.79,361.93,0,0,0,0,0.06,0,0,0,0,0.11,0,0,19.01,0,0,0,0.01,0,51.8,26.89
South Africa,1.47,0.77,11.62,9,0.92,1.35,2.85,216,-12.07,0,1.58,0,5.69,1.28,6.36,0.23,0.01,0.26,0.41,0.12,4.44,0.16,1.02,0,0,0.07,7.25,13.42,140.98,697.57,-324.17,0,0,0,0,0,0.95,0,0,0,0,0,0.46,0.21,0,0,0,0,0,0.39,0.52
South Sudan,1.85,2.4,0,108.96,0,15.66,6.86,5.11,137.05,0,0.06,0.37,11.53,7.2,41.71,4.03,0,4.95,33.08,2.83,70.53,0.19,0.46,0.17,0.05,1.26,85.67,25.27,132.29,799.29,119.49,0,0,0,0,0.06,0.02,0,0,0,0.11,0,0,2.53,0.04,0,0,0.01,0,0.68,2.36
Sri Lanka,20.09,1.88,0.41,3,0.04,0.06,0.17,13.85,15.75,0,5.23,0,0.03,1.78,-28.73,8.42,0,0.09,0.18,0.65,6.95,0.17,0,0,0,-1.37,2.61,7.59,11.81,54.69,64.93,0,0,0,0,0,0.23,0,11,0,0,0,0,0.11,0.02,0,0,0.09,0,0.22,0.38
States Ex-Yugoslavia unspecified,0,2.63,0,0,0.05,0,0.1,0.05,0,0,0,0,0,1.18,0,0,0,0,0,0,1.12,0,0,0,0.37,0,0,0,0.11,0,20.02,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,0.19,0.35,0.01,48.89,0,18.31,0.51,44.25,167.5,0,0.52,0,6.39,32.1,48.94,5.93,0,0,9.65,0,27.08,0.08,0,0.03,0.08,16.12,80.99,14.51,129.59,734.12,161.83,0,0,0,0,0.11,0,0,0.26,0,0,1.22,0,6.17,0,0,0,0,0,3.36,50.04
Suriname,0.03,0,0.18,0.93,0,0,0,0.66,0.14,0,0,0,0,0.35,0.12,0.23,0,0,2.6,0.01,0,0,0,0,0,0.44,0,0,0.01,0.23,2.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,1.5
Syrian Arab Republic,3.06,17.74,22.92,69.58,3.09,75.3,16.93,63.32,670.39,1.03,16.69,0.95,9.42,13.25,87.65,6.68,0.06,6.08,8.13,1.41,104.19,1.66,3.12,0.5,0.21,10.31,83.48,38.05,125.27,801.62,555.63,0,0.09,0,0,0.33,0.01,0,30.56,0.06,0.22,0.09,0,14.37,0.69,0,0,0,0,6689.83,31.65
Chinese Taipei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan,0.01,0.37,0,1.55,0.03,0,1.13,0.17,12.85,0,0.45,0,0,0,30.28,6.26,0.41,0,0,0,2.28,0.25,0,0,0,0,0.52,21.1,2.55,47.75,101.71,0,0,0,0,0,0.06,4.55,6.81,0.04,0,0,0,2.3,0.01,0,0,0,0,1.86,3.69
Tanzania,2.41,1.25,14.82,48.89,0,50.75,20.74,40.19,62.39,0,0.59,0.01,29.8,7.88,41.74,56.07,0,0.45,0.31,0.11,45.7,3.03,0.03,0,0,1.55,83.31,33.04,83.36,506.86,138.77,0,0,0,0,0,0.16,0,-1.28,0,1.15,0.01,0,1.58,0,0,0,0.03,0,1.15,-2.41
Thailand,6.78,0.84,0.02,0.05,0.03,0.06,2.3,15.26,19.42,0,0.46,0,0.28,0.3,-63.73,7.81,0.01,0.17,0.08,0.24,0.85,0.8,0.09,0,0,0.07,3.27,11.24,13.02,64.51,8.27,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0.01,0,0,0,0,0.32,0
Timor-Leste,104.12,0.1,0,0.2,0,0,0,0.18,6.04,0,0.02,0,0,0.4,21.7,14.61,0,0,0,13.29,0.33,0,17.17,0,0,0,0.93,0,0.22,29.76,16.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,0,0.03,0.71,4.45,0,0.41,0,43.66,67.55,0,8.02,0.03,0.02,1.97,4.04,2.58,0,1.52,0,0,0.56,0.01,0,0,0,1.16,2.4,1.67,0,13.73,29.47,0,0,0,0,0,0.04,0,2.74,0,0,0,0,0,0.02,0,0,0,0,0.36,5.62
Tokelau,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga,31.4,0,0,0.12,0,0,0,0.09,0.05,0,0,0,0,0,13.72,0.17,0,0,0,15.28,0,0,0,0,0,0,0.04,0,0.19,1.03,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0
Trinidad and Tobago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,0.01,3.35,0.59,6.67,0.84,2.95,0.3,145.7,383.32,0.67,5.41,0,0.01,53.41,9.97,3.18,0,0.36,15.16,0,0.2,3.5,0.09,0,0.03,-17.06,2.54,22.71,13.72,109.37,279.89,0,0.01,0.01,0,0,0.02,0,14.81,0.33,0,0.18,0.63,0.33,0.48,0,0,0,0,1.45,20.33
Türkiye,0.07,27.61,13.1,0.15,2.39,2.65,3,45.25,144.2,2.48,5.48,0.34,3.41,24.49,-41.78,1.91,0.63,0.46,1.2,0,4.67,9.38,0.11,1.13,0.51,-14.04,20.75,2.79,52.09,64.18,702.24,0,0.66,0.63,0,0.06,0.28,0,-5.23,0.4,0.75,0.08,0,1.22,2.55,0,0,0,0,0,7.57
Turkmenistan,0,0.29,0,0.06,0,0,0,0.43,1.42,0,0.34,0,0.01,0.01,1.21,1.25,0,0,0,0,0,0.15,0,0,0,0,0,0,0.51,4.56,3.46,0,0,0.01,0,0,0.14,0,0,0,0,0,0,0,0.59,0,0,0,0,0.54,3.54
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu,11.31,0,0,0.12,0,0,0,0,0,0,0,0,0,0,3.18,0.84,0,0,0,5.51,0,0,0,0,0,0,0,0,0.03,0.15,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0
Uganda,3.13,15.11,49.69,30.39,0.01,64.49,6.37,67.11,82.6,0.01,8.74,8.08,28.78,6.48,62.73,29.91,0,0.63,37.65,0.09,32.82,0.14,0,0.18,1.17,22.82,79.99,3.39,88.52,630.78,171.15,0,0,0,0,1.42,0.17,0,0.75,0,0,0,0,2.75,0.01,0,0,0.02,0,0.66,3.95
Ukraine,0.07,20.5,3.88,37.85,4.08,35.01,10.46,25.33,223.66,0.71,20.79,0.08,0.43,1.6,-16.16,1.51,2.99,1.18,1.07,0,18.5,94.89,0.37,1.54,1.02,0.07,33.53,45.81,42.93,304.72,1180.79,0,0.26,0,0,3.94,8.54,0,0,0.92,0.02,0.02,0.01,0.2,2.42,0,0,0,0,1.24,0.03
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,0.02,2.14,0.01,0.13,0.07,0,0.08,16.51,18.96,0,0.51,0,0,0.07,348.37,38.32,0.02,0.08,0,0,0,1.87,0,0.02,0,0.02,0.16,6.65,3.37,37.92,61.99,0,0,0,0,0.11,0.59,0,17.58,0.23,0,0,0,1.23,0.11,0,0,0.01,0,3.79,34.98
Vanuatu,89.78,0.15,0,0.2,0,0.03,0.01,4.94,0,0,0,0,0,0,5.21,0.54,0,0,0,25.82,0,0,0.1,0,0,0,0.06,0.06,0.95,1.58,8.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02
Venezuela,0,1.6,0,13.39,0.07,0.59,0,9.68,24.1,0.02,0.01,0,0.59,0.34,4.98,1.13,0.06,0,2.37,1.06,8.61,0.12,0.44,0.04,0,7.39,14.19,12.53,3.47,104.84,31.3,0,0,0,0,0,0.11,0,0,0.01,0,0.02,0,0.02,0.01,0,0,0,0,0.3,0.01
Viet Nam,88,2.69,8.16,11.97,1.93,1.63,3.5,123.83,123.85,1.68,12.28,0.01,4.29,5.97,-163.19,63.34,1.3,0.85,0.27,2.09,3.67,11.29,1.12,0.36,0,-3.63,3.63,21.81,14.5,142.81,17.31,0,0.07,0.4,0,0,1.12,0,0.26,0.2,0,0,0,0.29,0.91,0,0,0.59,0,0.05,0.41
Wallis and Futuna,0.06,0,0,0,0,0,0,109.51,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bank and Gaza Strip,18.26,7.81,23.73,37.42,0.84,19.59,10.19,69,292.99,0.19,2.14,0.88,12.76,34.86,91.36,2.72,0.04,4.99,34.71,0.71,80.76,1.52,0.02,0.09,0.28,36.7,70.31,35.15,56.82,46.14,222.72,0,0.06,0,0.06,0.19,56.8,0,9.15,0,0,0.08,0,310.55,0.68,0,0,0,0,33.94,28.18
Yemen,7.51,8.27,6.85,64.59,0.16,26.16,4.47,12.56,397.67,0.04,1.26,1.14,7.57,0.53,66.77,20.38,0.12,3.01,30.96,2.48,25.17,0.78,0,1.4,0.13,1.03,51.31,16.92,157.38,900.57,195.38,0,0.06,0,0.05,0.06,0,0,3.36,0,0.11,0.06,0,48.44,0.06,0,0,0,0,3.89,259.15
